Source:,D:\Motor Controller Research\GitHub\motor-controller\PCBs\MCU_Powertrain\MCU_Powertrain.sch,,,,,,
Date:,2020-01-21 17:43,,,,,,
Tool:,Eeschema (5.1.5)-3,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,111,,,,,,
,,,,,,,
Individual Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey
,,C1,4.7uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-1900-1-ND
,,C2,0.047uF,Device:C_Small,Capacitors_SMD:C_0603,,399-7933-1-ND
,,C3,1uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-1102-1-ND
,,C4,0.047uF,Device:C_Small,Capacitors_SMD:C_0603,,399-7933-1-ND
,,C5,1uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-1102-1-ND
,,C6,0.1uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-CL10B104KB8NNNLCT-ND
,,C7,0.1uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-CL10B104KB8NNNLCT-ND
,,C8,0.1uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-CL10B104KB8NNNLCT-ND
,,C9,1000pF,Device:C_Small,Capacitors_SMD:C_0603,,1276-1018-1-ND
,,C10,220uF,Device:CP1,Capacitors_SMD:CP_Elec_8x10.5,,25PEV220M8X10.5CT-ND
,,C11,220uF,Device:CP1,Capacitors_SMD:CP_Elec_8x10.5,,25PEV220M8X10.5CT-ND
,,C12,220uF,Device:CP1,Capacitors_SMD:CP_Elec_8x10.5,,25PEV220M8X10.5CT-ND
,,C13,22uF,Device:C_Small,Capacitors_SMD:C_0805,,490-14661-1-ND
,,C14,22uF,Device:C_Small,Capacitors_SMD:C_0805,,490-14661-1-ND
,,C15,22uF,Device:C_Small,Capacitors_SMD:C_0805,,490-14661-1-ND
,,C16,1000pF,Device:C_Small,Capacitors_SMD:C_0603,,1276-1018-1-ND
,,C17,0.1uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-CL10B104KB8NNNLCT-ND
,,C18,1000pF,Device:C_Small,Capacitors_SMD:C_0603,,1276-1018-1-ND
,,C19,2.2uF,Device:C_Small,Capacitors_SMD:C_0603,,490-10731-1-ND
,,C20,1uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-1102-1-ND
,,C21,15pF,Device:C_Small,Capacitors_SMD:C_0603,~,311-1060-1-ND
,,C22,15pF,Device:C_Small,Capacitors_SMD:C_0603,~,311-1060-1-ND
,,C23,0.1uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-CL10B104KB8NNNLCT-ND
,,C24,2200pF,Device:C_Small,Capacitors_SMD:C_0603,,490-1459-1-ND
,,C25,2200pF,Device:C_Small,Capacitors_SMD:C_0603,,490-1459-1-ND
,,C26,2200pF,Device:C_Small,Capacitors_SMD:C_0603,,490-1459-1-ND
,,C27,1uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-1102-1-ND
,,C28,1uF,Device:C_Small,Capacitors_SMD:C_0805,,399-8011-1-ND
,,C29,1uF,Device:C_Small,Capacitors_SMD:C_0805,,399-8011-1-ND
,,C30,0.1uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-CL10B104KB8NNNLCT-ND
,,C31,22uF,Device:C_Small,Capacitors_SMD:C_0805,,490-14661-1-ND
,,C32,0.33uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-2370-1-ND
,,C33,0.1uF,Device:C_Small,Capacitors_SMD:C_0603,,1276-CL10B104KB8NNNLCT-ND
,,C34,2.2uF,Device:C_Small,,~,1276-1763-1-ND
,,C35,2.2uF,Device:C_Small,,~,1276-1763-1-ND
,,C36,2.2uF,Device:C_Small,,~,1276-1763-1-ND
,,C37,2.2uF,Device:C_Small,,~,1276-1763-1-ND
,,C38,2.2uF,Device:C_Small,,~,1276-1763-1-ND
,,D1,BLUE,Device:LED_ALT,LEDs:LED_0603,~,160-1827-1-ND
,,D2,RED,Device:LED_ALT,LEDs:LED_0603,~,160-1447-1-ND
,,D3,GREEN,Device:LED_ALT,LEDs:LED_0603,~,160-1446-1-ND
,,D4,D_Schottky_ALT,Device:D_Schottky_ALT,Diodes_SMD:D_SOD-123F,~,MBR1H100SFT3GOSCT-ND
,,D5,BLUE,Device:LED,,~,732-4982-1-ND
,,D6,BLUE,Device:LED,,~,732-4982-1-ND
,,D7,BLUE,Device:LED,,~,732-4982-1-ND
,,D8,BLUE,Device:LED,,~,732-4982-1-ND
,,H1,MountingHole,Mechanical:MountingHole,,~,
,,H2,MountingHole,Mechanical:MountingHole,,~,
,,H3,MountingHole,Mechanical:MountingHole,,~,
,,H4,MountingHole,Mechanical:MountingHole,,~,
,,J1,PHASE_A,Connector_Generic:Conn_01x01,ESC Drivetrain V1:3mm_Bullet_A,~,
,,J2,PHASE_B,Connector_Generic:Conn_01x01,ESC Drivetrain V1:3mm_Bullet_B,~,
,,J3,PHASE_C,Connector_Generic:Conn_01x01,ESC Drivetrain V1:3mm_Bullet_C,~,
,,J4,Big Conn,Connector_Generic:Conn_02x05_Odd_Even,,~,302-S101
,,J5,Pogo Conn,Connector_Generic:Conn_02x05_Odd_Even,,~,
,,J6,Conn CAN,Connector_Generic:Conn_01x03,,~,WM4901-ND
,,J7,PWRIN,Connector_Generic:Conn_01x02,,~,
,,L1,15uH,Device:L_Core_Ferrite,ESC Drivetrain V1:Eaton_Inductor,~,513-1458-1-ND
,,L2,FB,Device:L_Small,Inductors_SMD:L_0805,~,240-2549-1-ND
,,L3,FB,Device:L_Small,Inductors_SMD:L_0402,~,445-172882-1-ND
,,NT1,Net-Tie_2,Device:Net-Tie_2,,~,
,,NT2,Net-Tie_2,Device:Net-Tie_2,,~,
,,NT3,Net-Tie_2,Device:Net-Tie_2,,~,
,,Q1,SIZF906DT,ESC Drivetrain V1:SIZF906DT,ESC Drivetrain V1:SIZF906DT,http://www.vishay.com/docs/67547/sizf906dt.pdf,SIZF906DT-T1-GE3CT-ND
,,Q2,SIZF906DT,ESC Drivetrain V1:SIZF906DT,ESC Drivetrain V1:SIZF906DT,http://www.vishay.com/docs/67547/sizf906dt.pdf,SIZF906DT-T1-GE3CT-ND
,,Q3,SIZF906DT,ESC Drivetrain V1:SIZF906DT,ESC Drivetrain V1:SIZF906DT,http://www.vishay.com/docs/67547/sizf906dt.pdf,SIZF906DT-T1-GE3CT-ND
,,R1,10k,Device:R_US,Resistors_SMD:R_0603,~,RNCP0603FTD10K0CT-ND
,,R2,100,Device:R_US,Resistors_SMD:R_0603,~,RHM100DCT-ND
,,R3,22.0k,Device:R_US,Resistors_SMD:R_0603,~,P22KDBCT-ND
,,R4,22.0k,Device:R_US,Resistors_SMD:R_0603,~,P22KDBCT-ND
,,R5,22.0k,Device:R_US,Resistors_SMD:R_0603,~,P22KDBCT-ND
,,R6,10k,Device:R_US,Resistors_SMD:R_0603,~,RNCP0603FTD10K0CT-ND
,,R7,2.7k,Device:R_US,Resistors_SMD:R_0603,~,P2.7KDACT-ND
,,R8,5m,Device:R_US,ESC Drivetrain V1:R_2512_Sense,,YAG6124CT-ND
,,R9,5m,Device:R_US,ESC Drivetrain V1:R_2512_Sense,,YAG6124CT-ND
,,R10,330,Device:R_US,Resistors_SMD:R_0603,~,RHM330DCT-ND
,,R11,5m,Device:R_US,ESC Drivetrain V1:R_2512_Sense,,YAG6124CT-ND
,,R12,4.99k,Device:R_US,Resistors_SMD:R_0603,~,P4.99KDBCT-ND
,,R13,4.99k,Device:R_US,Resistors_SMD:R_0603,~,P4.99KDBCT-ND
,,R14,4.99k,Device:R_US,Resistors_SMD:R_0603,~,P4.99KDBCT-ND
,,R15,22.0k,Device:R_US,Resistors_SMD:R_0603,~,P22KDBCT-ND
,,R16,4.99k,Device:R_US,Resistors_SMD:R_0603,~,P4.99KDBCT-ND
,,R17,10k,Device:R_Small_US,,~,311-10.0KCRCT-ND
,,R18,10k,Device:R_Small_US,,~,311-10.0KCRCT-ND
,,R19,330,Device:R_US,Resistors_SMD:R_0603,~,A129743CT-ND
,,R20,56,Device:R_US,Resistors_SMD:R_0603,~,A129673CT-ND
,,R21,56,Device:R_US,Resistors_SMD:R_0603,~,A129673CT-ND
